year,date,number,title,category,url
2026,2026-08-18,08.18.26.01,Appointing the Honorable Kellye C. Moore as Superior Court Judge of the Houston Judicial Circuit,Appointment,https://gov.georgia.gov/document/2026-executive-order/08182601/download
2026,2026-08-17,08.17.26.05,Appointing the Honorable Charles Bradley Dixon as Superior Court Judge of the Atlantic Judicial Circuit,Appointment,https://gov.georgia.gov/document/2026-executive-order/08172605/download
2026,2026-08-17,08.17.26.04,"Appointing the Honorable Billy Joe Nelson, Jr. as Superior Court Judge of the Atlantic Judicial Circuit",Appointment,https://gov.georgia.gov/document/2026-executive-order/08172604/download
2026,2026-08-17,08.17.26.03,Appointing the Honorable Kathleen V.P. Davis as District Attorney of the Lookout Mountain Judicial Circuit,Appointment,https://gov.georgia.gov/document/2026-executive-order/08172603/download
2026,2026-08-17,08.17.26.02,"Appointing Mr. Dennis T. Cathey as Special Counsel to represent the Honorable Sonja N. Brown and the Honorable Robert E. Flournoy, III",Appointment,https://gov.georgia.gov/document/2026-executive-order/08172602/download
2026,2026-08-17,08.17.26.01,Suspending members of the Dublin City Board of Education and creating the Dublin City Board of Education Nominating Committee,Suspension,https://gov.georgia.gov/document/2026-executive-order/08172601/download
2026,2026-08-12,08.12.26.03,Appointing the Honorable Randy McGinley as Superior Court Judge of the Alcovy Judicial Circuit,Appointment,https://gov.georgia.gov/document/2026-executive-order/08122603/download
2026,2026-08-12,08.12.26.02,Appointing the Honorable Catherine A. Sumner as District Attorney of the Ogeechee Judicial Circuit,Appointment,https://gov.georgia.gov/document/2026-executive-order/08122602/download
2026,2026-08-12,08.12.26.01,Appointing the Honorable Justin R. Arnold as Judge of the State Court of Sumter County,Appointment,https://gov.georgia.gov/document/2026-executive-order/08122601/download
2026,2026-08-11,08.11.26.01,Appointing the Honorable Brian K. Epps as Judge of the Court of Appeals of the State of Georgia,Appointment,https://gov.georgia.gov/document/2026-executive-order/08112601/download
2026,2026-08-10,08.10.26.01,Suspending Mr. Alfonzo Williams from the Office of Sheriff of Burke County,Suspension,https://gov.georgia.gov/document/2026-executive-order/08102601/download
2026,2026-08-05,08.05.26.02,Authorizing the demolition and removal of structures from the Bill Ireland Youth Detention Center,Authorization,https://gov.georgia.gov/document/2026-executive-order/08052602/download
2026,2026-08-05,08.05.26.01,Authorizing the demolition and removal of a structure at Red Top Mountain State Park,Authorization,https://gov.georgia.gov/document/2026-executive-order/08052601/download
2026,2026-08-03,08.03.26.04,Appointing the Honorable Brent C. Carter as Judge of the State Court of Candler County,Appointment,https://gov.georgia.gov/document/2026-executive-order/08032604/download
2026,2026-08-03,08.03.26.03,"Appointing the Honorable W. Michael Burnham, II as Superior Court Judge of the Southern Judicial Circuit",Appointment,https://gov.georgia.gov/document/2026-executive-order/08032603/download
2026,2026-08-03,08.03.26.02,Appointing the Honorable Michael H. Rogers as District Attorney of the Griffin Judicial Circuit,Appointment,https://gov.georgia.gov/document/2026-executive-order/08032602/download
2026,2026-08-03,08.03.26.01,"Lowering flags to half-staff on Friday, August 7, 2026, in honor and memory of 1st Lt. Tyler James Feehan",Flag at Half-Staff,https://gov.georgia.gov/document/2026-executive-order/08032601/download
2026,2026-07-31,07.31.26.07,Appointing the Honorable Lee Richard Moss as a member of the Joint Study Committee on Evaluating Escalating Costs in Georgia’s Foster Care System,Appointment,https://gov.georgia.gov/document/2026-executive-order/07312607/download
2026,2026-07-31,07.31.26.06,Appointing the Honorable Whip M. Triplett as a member of the Savannah-Georgia Convention Center Authority,Appointment,https://gov.georgia.gov/document/2026-executive-order/07312606/download
2026,2026-07-31,07.31.26.05,Appointing the Honorable Lisa J. Smith as a member of the Georgia Humanities Council,Appointment,https://gov.georgia.gov/document/2026-executive-order/07312605/download
2026,2026-07-31,07.31.26.04,Appointing the Honorable Cameron P. Bean as a member of the Georgia Humanities Council,Appointment,https://gov.georgia.gov/document/2026-executive-order/07312604/download
2026,2026-07-31,07.31.26.03,Appointing the Honorable Kara Cristalle Kramer as a member of the Georgia Board of Dentistry,Appointment,https://gov.georgia.gov/document/2026-executive-order/07312603/download
2026,2026-07-31,07.31.26.02,Reappointing the Honorable Matthew Robert Almand as a member of the State Personnel Board,Appointment,https://gov.georgia.gov/document/2026-executive-order/07312602/download
2026,2026-07-31,07.31.26.01,"Appointing members to the commission to review the indictment of Mr. Alfonzo Williams, Sheriff of Burke County",Appointment,https://gov.georgia.gov/document/2026-executive-order/07312601/download
2026,2026-07-28,07.28.26.03,Appointing the Honorable Deidre Holden as a member of the Election Equipment Specifications and Standards Committee,Appointment,https://gov.georgia.gov/document/2026-executive-order/07282603/download
2026,2026-07-28,07.28.26.02,Appointing the Honorable Sam Hatcher as a member of the Election Equipment Specifications and Standards Committee,Appointment,https://gov.georgia.gov/document/2026-executive-order/07282602/download
2026,2026-07-28,07.28.26.01,Appointing the Honorable Chris Harvey as a member of the Election Equipment Specifications and Standards Committee,Appointment,https://gov.georgia.gov/document/2026-executive-order/07282601/download
2026,2026-07-20,07.20.26.05,Appointing the Honorable Joey M. Loudermilk as Senior Judge of the Juvenile Courts of Georgia,Appointment,https://gov.georgia.gov/document/2026-executive-order/07202605/download
2026,2026-07-20,07.20.26.04,"Appointing the Honorable Warner L. Kennon, Sr. as Senior Judge of the Juvenile Courts of Georgia",Appointment,https://gov.georgia.gov/document/2026-executive-order/07202604/download
2026,2026-07-20,07.20.26.03,Appointing the Honorable Robert L. Russell as Senior Judge of the Superior Courts of Georgia,Appointment,https://gov.georgia.gov/document/2026-executive-order/07202603/download
2026,2026-07-20,07.20.26.02,Appointing the Honorable Dwayne H. Gillis as Senior Judge of the Superior Courts of Georgia,Appointment,https://gov.georgia.gov/document/2026-executive-order/07202602/download
2026,2026-07-20,07.20.26.01,Appointing the Honorable M. Yvette Miller as Senior Appellate Court Judge for the Court of Appeals of the State of Georgia,Appointment,https://gov.georgia.gov/document/2026-executive-order/07202601/download
2026,2026-07-17,07.17.26.07,Reappointing the Honorable Michael Lowe as a member of the Board of Trustees of the Public School Employees Retirement System,Appointment,https://gov.georgia.gov/document/2026-executive-order/07172607/download
2026,2026-07-17,07.17.26.06,Appointing the Honorable Joseph Dave Wade as a member of the Board of Trustees of the Georgia Firefighters’ Pension Board,Appointment,https://gov.georgia.gov/document/2026-executive-order/07172606/download
2026,2026-07-17,07.17.26.05,"Appointing the Honorable James Van Boxel, Jr. as a member of the State Board of Cosmetology and Barbers",Appointment,https://gov.georgia.gov/document/2026-executive-order/07172605/download
2026,2026-07-17,07.17.26.04,Appointing the Honorable Gerlda B. Hines as a member of the State Employee Benefit Plan Council,Appointment,https://gov.georgia.gov/document/2026-executive-order/07172604/download
2026,2026-07-17,07.17.26.03,Reappointing the Honorable Monirah T. Womack as a member of the State Employee Benefit Plan Council,Appointment,https://gov.georgia.gov/document/2026-executive-order/07172603/download
2026,2026-07-17,07.17.26.02,Reappointing the Honorable Angie Surface as a member of the State Employee Benefit Plan Council,Appointment,https://gov.georgia.gov/document/2026-executive-order/07172602/download
2026,2026-07-17,07.17.26.01,Appointing the Honorable Debbie-Ann R. Rickman as Superior Court Judge of the Atlanta Judicial Circuit,Appointment,https://gov.georgia.gov/document/2026-executive-order/07172601/download
2026,2026-07-16,07.16.26.02,Appointing the Honorable Mercedes G. Ball as Judge of the State Court of DeKalb County-Division B,Appointment,https://gov.georgia.gov/document/2026-executive-order/07162602/download
